wdid,name,wdLabel,gender,dob,dobPrecision,source,pid,position,psid
Q10773771,Aleš Hojs,Aleš Hojs,male,1961-12-12T00:00:00Z,11,https://www.gov.si/en/state-authorities/government/about-the-government/,Q12796749,Minister of the Interior,Q10773771-7A7D1E6B-FC13-4A7D-AE00-7E31762C1C26
Q10820628,Andrej Vizjak,Andrej Vizjak,male,1964-08-06T00:00:00Z,11,https://www.gov.si/en/state-authorities/government/about-the-government/,Q99836910,Minister of the Environment and Spatial Planning,Q10820628-BFAC8ED5-2830-47B4-BA3B-8C86A764431F
Q18507427,Andrej Šircelj,Andrej Šircelj,male,1959-02-28T00:00:00Z,11,https://www.gov.si/en/state-authorities/government/about-the-government/,Q12796747,Minister of Finance,Q18507427-589979A2-9DC4-42D3-B3D4-1F583619623B
Q32083031,Anže Logar,Anže Logar,male,1976-05-15T00:00:00Z,11,https://www.gov.si/en/state-authorities/government/about-the-government/,Q4294924,Minister of Foreign Affairs,Q32083031-DB5257D2-4179-48C7-AA64-09F18B0E5B04
Q89252424,Boštjan Koritnik,Boštjan Koritnik,male,1979-06-15T00:00:00Z,11,https://www.gov.si/en/state-authorities/government/about-the-government/,Q12796746,Minister of Public Administration,Q89252424-54233f7c-4a7f-ebaf-e2d5-0f7363b10879
Q95165279,Helena Jaklitsch,Helena Jaklitsch,female,1977-07-01T00:00:00Z,11,https://www.gov.si/en/state-authorities/government/about-the-government/,Q95232921,"Minister without Portfolio for relations between the Republic of Slovenia and the autochthonous Slovene national community living in neighbouring countries, as well as between the Republic of Slovenia and Slovenians living abroad",Q95165279-B2F3A324-7149-4AE2-8CCD-328A2EAB6EDE
Q87735624,Janez Cigler Kralj,Janez Cigler Kralj,male,1978-12-28T00:00:00Z,11,https://www.gov.si/en/state-authorities/government/about-the-government/,Q12796744,"Minister of Labour, Family, Social Affairs and Equal Opportunities",Q87735624-641291AD-FEBC-4252-AF58-0BC968A62CB1
Q57627,Janez Janša,Janez Janša,male,1958-09-17T00:00:00Z,11,https://www.gov.si/en/state-authorities/government/about-the-government/,Q45758,Prime Minister,Q57627-ccbe5366-4a76-6050-f200-e5a69dad2b33
Q66085314,Janez Poklukar,Janez Poklukar,male,1979-02-09T00:00:00Z,11,https://www.gov.si/en/state-authorities/government/about-the-government/,Q20521812,Minister of Health,Q66085314-9F60A1DF-59C9-4C08-AB51-9F97B1517B4A
Q43389553,Jernej Vrtovec,Jernej Vrtovec,male,1985-05-24T00:00:00Z,11,https://www.gov.si/en/state-authorities/government/about-the-government/,Q61356430,Minister of Infrastructure,Q43389553-CE88EF88-94AD-453F-AB0D-01B2FA90EEE9
Q100494157,Jože Podgoršek,Jože Podgoršek,male,1974-03-17T00:00:00Z,11,https://www.gov.si/en/state-authorities/government/about-the-government/,Q96787564,"Minister of Agriculture, Forestry and Food",Q100494157-A5EF6FC7-5FCB-41C3-9090-5A52A1013BBC
Q107103371,Marjan Dikaučič,Marjan Dikaučič,male,1981-10-17T00:00:00Z,11,https://www.gov.si/en/state-authorities/government/about-the-government/,Q20522353,Minister of Justice,Q107103371-F53A16EF-3353-476F-883C-DE118199A830
Q107557145,Mark Boris Andrijanič,Mark Boris Andrijanič,male,,,https://www.gov.si/en/state-authorities/government/about-the-government/,Q107557122,Minister without Portfolio for Digital Transformation,Q107557145-9dd88d23-4674-3d4c-0da9-b0c710497eb6
Q12796084,Matej Tonin,Matej Tonin,male,1983-07-30T00:00:00Z,11,https://www.gov.si/en/state-authorities/government/about-the-government/,Q107764051,Deputy Prime Minister,Q12796084-80EF421A-C25A-4EFC-9A25-83AD0ABE648E
Q12796084,Matej Tonin,Matej Tonin,male,1983-07-30T00:00:00Z,11,https://www.gov.si/en/state-authorities/government/about-the-government/,Q20523593,Minister of Defence,Q12796084-56559D07-9776-4029-A9EE-48BCE5F6549D
Q18643062,Simona Kustec,Simona Kustec,female,1976-06-19T00:00:00Z,11,https://www.gov.si/en/state-authorities/government/about-the-government/,Q20521795,"Minister of Education, Science and Sport",Q18643062-8E46B766-00A5-4EBB-AF3A-47F951B636A8
Q7916849,Vasko Simoniti,Vasko Simoniti,male,1951-03-23T00:00:00Z,11,https://www.gov.si/en/state-authorities/government/about-the-government/,Q12796748,Minister of Culture,Q7916849-010243F1-03E0-43CF-8803-6EAC0EB89B70
Q24690846,Zdravko Počivalšek,Zdravko Počivalšek,male,1957-11-25T00:00:00Z,11,https://www.gov.si/en/state-authorities/government/about-the-government/,Q107764051,Deputy Prime Minister,Q24690846-385F316D-433C-4519-8317-B54D61A6EBF9
Q24690846,Zdravko Počivalšek,Zdravko Počivalšek,male,1957-11-25T00:00:00Z,11,https://www.gov.si/en/state-authorities/government/about-the-government/,Q12796745,Minister of Economic Development and Technology,Q24690846-2E277E70-EFDA-4FF4-993B-00208D37B7F4
Q10861634,Zvonko Černač,Zvone Černač,male,1962-09-23T00:00:00Z,11,https://www.gov.si/en/state-authorities/government/about-the-government/,Q107764310,Minister without Portfolio for Development and EU Cohesion Policy,Q10861634-70D718A5-220D-40D1-A7C2-87D642D44937
